위도,경도,발생건수,사망자수,중상자수,사고지역위치명,nearest_slope_deg,dist_nearest_stop_m
37.368,127.108,14,0,2,집계격자,6.475686570239952,137.321935547883
37.372,127.104,14,0,5,집계격자,9.438244660700565,120.35723306282574
37.434,127.159,14,0,1,집계격자,8.289303837275924,20.53125620437188
37.366,127.108,14,0,1,집계격자,11.455459480277682,27.324033009679553
37.441,127.148,14,0,3,집계격자,6.514666493317893,39.081096367528865
37.422,127.117,14,1,5,집계격자,5.867894409068481,107.78426166442006
37.363,127.105,14,0,11,집계격자,11.455459480277682,76.08299926456758
37.361,127.155,13,0,3,집계격자,6.451423385772927,1045.465289502376
37.441,127.133,13,0,0,집계격자,7.992112586219589,44.39379460837218
37.433,127.127,13,0,7,집계격자,5.991415952493499,213.33668360686505
37.455,127.162,13,0,4,집계격자,6.159761597415178,29.874454408935655
37.38,127.119,13,1,2,집계격자,5.3818301700236555,106.56533154020727
37.387,127.117,13,0,3,집계격자,5.3818301700236555,210.59760033257595
37.377,127.11,13,0,7,집계격자,10.844012478813454,96.0297554323631
37.444,127.15,13,0,4,집계격자,5.469878393715717,117.74197029826624
37.442,127.164,13,0,4,집계격자,6.412615828203088,73.76213255476507
37.443,127.154,13,0,2,집계격자,6.3073880841761865,33.5287067999238
37.446,127.157,13,0,3,집계격자,7.458084070582724,68.8795142612136
37.455,127.161,13,0,5,집계격자,7.549124118429053,74.73893585058802
37.376,127.112,13,0,2,집계격자,10.844012478813454,108.59373218187335
37.353,127.102,13,0,8,집계격자,8.523478652035243,92.9934438834316
37.334,127.118,13,0,3,집계격자,6.563047279322581,246.47679538392654
37.435,127.14,13,0,3,집계격자,7.110196060025098,129.18723157886072
37.429,127.129,13,0,2,집계격자,5.991415952493499,171.96132922581413
37.343,127.109,12,0,2,집계격자,6.842013489713127,133.83933724882553
37.431,127.128,12,0,4,집계격자,5.991415952493499,86.26932452103445
37.433,127.12,12,0,2,집계격자,11.43640852225249,359.35968918620307
37.364,127.105,12,1,5,집계격자,11.455459480277682,143.3814201934112
37.35,127.103,12,0,0,집계격자,13.241928238511022,338.67241292721684
37.471,127.129,12,0,2,집계격자,5.444298102399986,449.7738466708353
37.436,127.158,12,1,1,집계격자,7.08540151593997,48.61503976891373
37.434,127.131,12,0,2,집계격자,5.991415952493499,57.9683596603342
37.425,127.102,12,1,4,집계격자,5.688206175460285,44.47312182104808
37.36,127.104,12,0,5,집계격자,8.523478652035243,188.12520320707642
37.433,127.13,12,0,2,집계격자,5.991415952493499,10.215644089903934
37.439,127.144,12,0,3,집계격자,7.367044018436874,87.92007812080982
37.384,127.12,12,0,5,집계격자,5.3818301700236555,48.59659714630362
37.442,127.152,12,0,3,집계격자,5.469878393715717,63.75033910890965
37.444,127.158,12,0,2,집계격자,6.3073880841761865,60.78083956020715
37.464,127.139,12,0,0,집계격자,8.45640453878258,40.179865847921754
37.422,127.116,12,0,1,집계격자,5.867894409068481,25.62104083318701
37.422,127.108,12,0,2,집계격자,5.553485477175717,37.88914036245474
37.365,127.104,12,0,0,집계격자,11.455459480277682,256.0998177272455
37.363,127.108,12,0,4,집계격자,8.700448805567662,111.56510526496838
37.369,127.108,12,0,4,집계격자,6.475686570239952,59.5683333048205
37.41,127.13,12,0,4,집계격자,8.43139823142437,5.743087550538246
37.383,127.138,12,0,2,집계격자,7.956478702485237,107.87248352219483
37.372,127.126,12,0,1,집계격자,5.394459073001247,72.07113525970821
37.452,127.16,12,0,4,집계격자,8.964228105336726,51.88350334028033
37.389,127.101,12,0,1,집계격자,5.847732000400313,141.57895114982261
37.39,127.122,12,1,4,집계격자,5.231713773968358,183.7705222280781
37.43,127.152,12,1,2,집계격자,7.147484073402136,26.097950067282525
37.396,127.113,12,0,1,집계격자,6.773012388803978,73.42152839652293
